age_group,ratio
0-14,0.004476690336523618
15-19,0.002083976535967891
20-24,0.005016980549552331
25-29,0.00949367088607595
30-34,0.01304414942883606
35-39,0.017829577029947516
40-44,0.022846557579499844
45-49,0.0449212719975301
50-54,0.07486878666255017
55-59,0.09501389317690645
60-64,0.11261191725841309
65-69,0.11346094473602963
70-74,0.1393176906452609
75-79,0.13908613769682002
80-84,0.10427601111454153
85-89,0.07278481012658228
90+,0.02886693423896264
