,2020-09-01 - 2020-12-01
's-Gravenhage,1.0
Westland,0.981152110432705
Delft,0.9723918237324131
Pijnacker-Nootdorp,0.9177063976639235
Rijswijk,0.9123971329970798
Midden-Delfland,0.8959384125298646
Zoetermeer,0.8739049641624635
Leidschendam-Voorburg,0.7894876559596495
Wassenaar,0.6641890098221396
